abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Emigrants_males,Emigrants_females,Emigrants_males_HS,Emigrants_females_HS,Emigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Emigrants_014_female,Emigrants_014_male
LVA,10.0,Latvia,1.6,"$34,117,202,555 ",99.40%,88.10%,3.3,74.7,19.0,$2.80 ,41.60%,3.19,"1,912,789",6.52%,Latvia,2020.0,ECA-HIC,LVA,160570.0,191819.0,65110.0,86589.0,151699.0,91501.0,201199.0,286998.0,1588167.0,1301169.0,673009.0,622458.0,150339.0,161943.0,9754.0,9090.0
LBN,17.55,Lebanon,2.09,"$53,367,042,272 ",95.10%,26.30%,6.4,78.9,29.0,$2.15 ,32.10%,2.1,"6,855,713",6.23%,Lebanon,2020.0,MENA-OTH,LBN,483318.0,334170.0,175007.0,120259.0,295266.0,487437.0,541304.0,1028684.0,5114389.0,4085705.0,2026782.0,2058867.0,821610.0,889443.0,15770.0,24936.0
LSO,26.81,Lesotho,3.14,"$2,460,072,444 ",120.90%,10.20%,65.7,53.7,544.0,$0.41 ,16.90%,0.07,"2,125,268",23.41%,Lesotho,2020.0,SSA,LSO,82183.0,104442.0,1872.0,3262.0,5134.0,5548.0,6567.0,12107.0,1451633.0,1439526.0,733766.0,705752.0,344969.0,345650.0,7083.0,6201.0
LBR,33.04,Liberia,4.32,"$3,070,518,100 ",85.10%,11.90%,53.5,63.7,661.0,$0.17 ,19.60%,0.04,"4,937,374",2.81%,Liberia,2020.0,SSA,LBR,102588.0,105760.0,43647.0,37541.0,81188.0,32142.0,19659.0,56667.0,3015781.0,2959115.0,1494865.0,1469116.0,1000615.0,1041281.0,15477.0,15058.0
LBY,18.83,Libya,2.24,"$52,076,250,948 ",109.00%,60.50%,10.2,72.7,72.0,$1.88 ,36.70%,2.09,"6,777,452",18.56%,Libya,2020.0,MENA-OTH,LBY,92616.0,74442.0,36595.0,21865.0,58460.0,323320.0,582813.0,895960.0,4962117.0,4066157.0,1890505.0,2165479.0,929232.0,979938.0,9196.0,11793.0
LIE,9.9,Liechtenstein,1.44,"$6,552,858,739 ",104.70%,35.60%,,83.0,,,,,"38,019",,Liechtenstein,2020.0,ECA-HIC,LIE,1118.0,1827.0,442.0,538.0,980.0,,,,,,,,,,183.0,107.0
LTU,10.0,Lithuania,1.63,"$54,219,315,600 ",103.90%,72.40%,3.3,75.7,8.0,$2.41 ,32.10%,6.35,"2,786,844",6.35%,Lithuania,2020.0,ECA-HIC,LTU,266848.0,342229.0,98695.0,143799.0,242494.0,183821.0,323962.0,502838.0,2362294.0,1859456.0,966928.0,887583.0,210409.0,222182.0,21198.0,17806.0
LUX,10.3,Luxembourg,1.37,"$71,104,919,108 ",102.30%,19.20%,1.9,82.1,5.0,$13.05 ,10.60%,3.01,"645,397",5.36%,Luxembourg,2020.0,ECA-HIC,LUX,30342.0,30894.0,10509.0,11017.0,21526.0,57850.0,51492.0,108949.0,532341.0,423392.0,212165.0,210834.0,47928.0,50150.0,3064.0,2280.0
MDG,32.66,Madagascar,4.08,"$14,083,906,357 ",142.50%,5.40%,38.2,66.7,335.0,$0.21 ,21.70%,0.18,"26,969,307",1.76%,Madagascar,2020.0,SSA,MDG,63675.0,93584.0,24060.0,30174.0,54234.0,177206.0,139506.0,316800.0,16597292.0,16280492.0,8242962.0,8037618.0,5493932.0,5599795.0,16576.0,7379.0
MWI,34.12,Malawi,4.21,"$7,666,704,427 ",142.50%,0.80%,35.3,63.8,349.0,$0.12 ,11.00%,0.04,"18,628,747",5.65%,Malawi,2020.0,SSA,MWI,181195.0,121972.0,8944.0,6760.0,15704.0,16554.0,7976.0,24865.0,10905594.0,10880729.0,5608844.0,5272220.0,4079098.0,4145263.0,3146.0,3505.0
MYS,16.75,Malaysia,2.0,"$364,701,517,788 ",105.30%,45.10%,6.7,76.0,29.0,$0.93 ,36.70%,1.51,"32,447,385",3.32%,Malaysia,2020.0,EAP-OTH,MYS,677009.0,889248.0,164163.0,207583.0,371746.0,1317515.0,1355619.0,2653098.0,24776784.0,22123686.0,10696469.0,11407180.0,3683097.0,3906118.0,168835.0,128945.0
MDV,14.2,Maldives,1.87,"$5,729,248,472 ",97.10%,31.20%,7.4,78.6,53.0,,16.40%,4.56,"530,953",6.14%,Maldives,2020.0,SA,MDV,1418.0,1700.0,427.0,553.0,980.0,1228.0,479.0,1725.0,434596.0,432871.0,145854.0,287035.0,51281.0,54665.0,312.0,276.0
MLI,41.54,Mali,5.88,"$17,510,141,171 ",75.60%,4.50%,62.0,58.9,562.0,$0.23 ,46.30%,0.13,"19,658,031",7.22%,Mali,2020.0,SSA,MLI,639538.0,467318.0,27906.0,13953.0,41859.0,92788.0,83673.0,175245.0,10731463.0,10556218.0,5342594.0,5212408.0,4679393.0,4839978.0,84018.0,101749.0
MLT,9.2,Malta,1.23,"$14,786,156,563 ",105.00%,54.30%,6.1,82.3,6.0,$5.07 ,37.10%,2.86,"502,653",3.47%,Malta,2020.0,ECA-HIC,MLT,42545.0,41745.0,10587.0,10212.0,20799.0,32971.0,37707.0,70570.0,441258.0,370688.0,183409.0,187171.0,35791.0,38283.0,2879.0,3217.0
MHL,29.03,Marshall Islands,4.05,"$221,278,000 ",84.70%,23.70%,27.4,65.2,,$2.00 ,10.00%,0.42,"58,791",,Marshall Islands,2020.0,EAP-OTH,MHL,12121.0,11725.0,3192.0,2747.0,5939.0,,,,,,,,,,2004.0,2532.0
MRT,33.69,Mauritania,4.56,"$7,593,752,450 ",99.90%,5.00%,51.5,64.7,766.0,$0.53 ,48.20%,0.19,"4,525,696",9.55%,Mauritania,2020.0,SSA,MRT,56157.0,30395.0,7216.0,2494.0,9710.0,29403.0,9582.0,39150.0,2804438.0,2765288.0,1397397.0,1368058.0,907701.0,937521.0,6405.0,10741.0
MUS,10.2,Mauritius,1.41,"$14,180,444,557 ",101.10%,40.60%,13.6,74.4,61.0,$0.38 ,50.70%,2.53,"1,265,711",6.67%,Mauritius,2020.0,SSA,MUS,77154.0,90546.0,32922.0,31066.0,63988.0,16566.0,9506.0,25953.0,1053290.0,1027337.0,527546.0,499672.0,104182.0,108268.0,6801.0,5707.0
MEX,17.6,Mexico,2.13,"$1,258,286,717,125 ",105.80%,40.20%,11.0,75.0,33.0,$0.49 ,41.40%,2.38,"126,014,024",3.42%,Mexico,2020.0,LAC,MEX,5873237.0,5477627.0,1055957.0,1156552.0,2212509.0,6918298.0,6384475.0,13285808.0,95622624.0,82336816.0,43195976.0,39123880.0,16280814.0,17029309.0,192289.0,202367.0
FSM,22.82,Federated States of Micronesia,3.05,"$401,932,279 ",97.20%,14.10%,25.6,67.8,88.0,,2.50%,0.18,"113,815",,"Micronesia, Fed. Sts.",2020.0,EAP-OTH,FSM,15531.0,16436.0,5706.0,5341.0,11047.0,3675.0,3666.0,7341.0,79144.0,71803.0,35383.0,36420.0,17492.0,18385.0,1563.0,1562.0
MDA,10.1,Moldova,1.26,"$11,955,435,457 ",90.60%,39.80%,13.6,71.8,19.0,$0.31 ,46.20%,3.21,"2,657,637",5.47%,Moldova,2020.0,ECA-OTH,MDA,390319.0,477886.0,96348.0,142524.0,238872.0,198941.0,279361.0,476293.0,2204143.0,1727850.0,883917.0,841924.0,202205.0,214147.0,38904.0,35842.0
MCO,5.9,Monaco,,"$7,184,844,193 ",,,2.6,,,$11.72 ,6.10%,6.56,"38,964",,Monaco,2020.0,ECA-HIC,MCO,10598.0,11644.0,4020.0,4331.0,8351.0,,,,,,,,,,1270.0,1051.0
