,iso3,Birth Rate,Infant mortality,Physicians per thousand,Life expectancy,OOP health expenditure,GDP,Unemployment rate,Minimum wage,Primary education enrollment,Tertiary education enrollment,Emigrants_total,Immigrants_total,emig_rate,immig_rate
125,MAR,18.94,19.2,0.73,76.5,53.1,118725279596.0,9.02,1.6,113.9,35.9,3114074,88850,0.10330517590045929,0.0032870471477508545
126,MOZ,37.52,54.0,0.08,60.2,6.8,14934159926.0,3.24,0.27,112.6,7.3,578645,294406,0.032036490738391876,0.016839157789945602
127,MMR,17.55,36.8,0.68,66.9,73.9,76085852617.0,1.58,0.39,112.3,18.8,3157395,53604,0.07225072383880615,0.0013221473200246692
128,NRU,,,,,,133000000.0,,,,,2159,2069,,
129,NPL,19.89,26.7,0.75,70.5,60.4,30641380604.0,1.41,0.36,142.1,12.4,2164595,424512,0.09449420124292374,0.020465731620788574
130,NLD,9.7,3.3,3.61,81.8,12.3,909070395161.0,3.2,10.29,104.2,85.0,886721,1801425,0.056878965348005295,0.12252182513475418
131,NZL,11.98,4.7,3.59,81.9,12.6,206928765544.0,4.07,11.49,100.0,82.0,725440,1307288,0.1503010094165802,0.31876203417778015
132,NIC,20.64,15.7,0.98,74.3,36.0,12520915291.0,6.84,0.54,120.6,17.4,698684,39015,0.13013415038585663,0.00835391040891409
133,NER,46.08,48.0,0.04,62.0,52.3,12928145120.0,0.47,0.29,74.7,4.4,329973,297934,0.0263710618019104,0.02445545792579651
134,NGA,37.91,75.7,0.38,54.3,72.2,448120428859.0,8.1,0.54,84.7,10.2,1531167,1172762,0.0129731809720397,0.010067110881209373
135,PRK,13.89,13.7,3.67,72.1,,32100000000.0,2.74,,112.8,27.0,96210,44581,0.004634467884898186,0.0021574804559350014
136,NOR,10.4,2.1,2.92,82.8,14.3,403336363636.0,3.35,,100.3,82.0,162348,807665,0.0351899079978466,0.18145151436328888
137,OMN,19.19,9.8,2.0,77.6,6.4,76983094928.0,2.67,4.33,103.4,38.0,20176,2320859,0.005071291234344244,0.5863274931907654
138,PAK,28.25,57.2,0.98,67.1,66.5,304400000000.0,4.45,0.69,94.3,9.0,6001853,2636326,0.04001757130026817,0.018310541287064552
139,PLW,14.0,16.6,1.18,69.1,21.8,283994900.0,,3.0,112.6,54.7,399,4572,,
140,PAN,18.98,13.1,1.57,78.3,30.5,66800800000.0,3.9,1.53,94.4,47.8,179636,274239,0.05360326170921326,0.0864676833152771
141,PNG,27.07,38.0,0.07,64.3,5.8,24969611435.0,2.46,1.16,108.5,1.8,2898,26940,0.0004991901223547757,0.004642822314053774
142,PRY,20.57,17.2,1.35,74.1,36.5,38145288940.0,4.81,1.55,104.4,34.6,795602,166659,0.13559944927692413,0.03286062553524971
143,PER,17.95,11.1,1.27,76.5,30.9,226848050820.0,3.31,1.28,106.9,70.7,1454409,982684,0.05533270165324211,0.03957585617899895
144,PHL,20.55,22.5,0.6,71.1,53.5,376795508680.0,2.15,1.12,107.5,35.5,5875035,196454,0.07118233293294907,0.002562666777521372
145,POL,10.2,3.8,2.38,77.6,23.2,592164400688.0,3.47,2.93,100.0,67.8,4200342,702647,0.11560984700918198,0.021867718547582626
146,PRT,8.5,3.1,5.12,81.3,27.7,237686075635.0,6.33,3.78,106.2,63.9,1901164,763519,0.175156831741333,0.08528172224760056
147,QAT,9.54,5.8,2.49,80.1,6.2,183466208791.0,0.09,,103.8,17.9,21827,2124498,0.008696247823536396,0.8538615107536316
148,RUS,11.5,6.1,4.01,72.7,36.4,1699876578871.0,4.59,0.53,102.6,81.9,8966370,11442835,0.07083312422037125,0.0972880870103836
149,RWA,31.7,27.0,0.13,68.7,26.0,10122472590.0,1.03,,133.0,6.7,408063,412891,0.04947727546095848,0.05266856402158737
150,KNA,12.6,9.8,2.52,71.3,56.6,1050992593.0,,3.33,108.7,86.7,24165,7344,,
151,LCA,12.0,14.9,0.64,76.1,48.4,2122450630.0,20.71,,102.6,14.1,48024,7013,0.24170437455177307,0.046546973288059235
152,VCT,14.24,14.8,0.66,72.4,21.4,825385185.0,18.88,1.16,113.4,23.7,56730,4014,0.3956756889820099,0.04632696509361267
153,WSM,24.38,13.6,0.34,73.2,11.5,850655017.0,8.36,0.78,110.5,7.6,104437,3425,0.45597711205482483,0.02748730033636093
154,SMR,6.8,1.7,6.11,85.4,18.3,1637931034.0,,,108.1,42.5,1381,4999,,
155,STP,31.54,24.4,0.05,70.2,11.7,429016605.0,13.37,,106.8,13.4,34317,1765,0.21188434958457947,0.013827520422637463
156,SAU,17.8,6.0,2.61,75.0,15.0,792966838162.0,5.93,3.85,99.8,68.0,268455,12848419,0.010136264376342297,0.4900955259799957
157,SEN,34.52,31.8,0.07,67.7,44.2,23578084052.0,6.6,0.31,81.0,12.8,621348,121739,0.06071540713310242,0.012664747424423695
158,SYC,17.1,12.4,0.95,72.8,2.5,1698843063.0,,2.0,100.4,17.1,25045,11754,0.25018230080604553,0.1565905511379242
159,SLE,33.41,78.5,0.03,54.3,38.2,3941474311.0,4.43,0.57,112.8,2.0,130714,11869,0.0267336405813694,0.0024941260926425457
160,SGP,8.8,2.3,2.29,83.1,36.7,372062527489.0,4.11,,100.6,84.8,306047,2193056,0.057827290147542953,0.43980878591537476
161,SVK,10.6,4.6,3.42,77.2,18.4,105422304976.0,5.56,3.11,98.7,46.6,346903,43635,0.06998684257268906,0.009465732611715794
162,SVN,9.4,1.7,3.09,81.0,12.5,53742159517.0,4.2,5.25,100.4,78.6,129719,265770,0.06777709722518921,0.14895860850811005
163,SLB,32.44,17.1,0.19,72.8,3.3,1425074226.0,0.58,0.4,106.2,,3876,2287,0.009321946650743484,0.005552089307457209
164,SOM,41.75,76.6,0.02,57.1,,4720727278.0,11.35,,23.4,2.5,1670995,54230,0.16335049271583557,0.006336381658911705
165,ZAF,20.51,28.5,0.91,63.9,7.7,351431649241.0,28.18,,100.9,22.4,861406,1951492,0.019991539418697357,0.046214185655117035
166,KOR,6.4,2.7,2.36,82.6,36.8,2029000000000.0,4.15,6.49,98.1,94.3,2083041,1424974,0.04392973706126213,0.03143242746591568
167,SSD,35.01,63.7,,57.6,61.3,11997800751.0,12.24,,73.0,,2310289,789906,0.26022908091545105,0.12027286738157272
168,ESP,7.9,2.5,3.87,83.3,24.2,1394116310769.0,13.96,5.6,102.7,88.9,1290499,6590299,0.03084820881485939,0.1625494807958603
169,LKA,15.83,6.4,1.0,76.8,38.4,84008783756.0,4.2,0.35,100.2,19.6,1774089,34691,0.09588836878538132,0.0020738879684358835
170,SDN,32.18,42.1,0.26,65.1,63.2,18902284476.0,16.53,0.41,76.8,16.9,1786989,1192332,0.0634031891822815,0.04516829922795296
171,SUR,18.54,16.9,1.21,71.6,10.1,3985250737.0,7.33,,108.8,12.6,184291,42338,0.2999039888381958,0.09841263294219971
172,SWE,11.4,2.2,3.98,82.5,15.2,530832908738.0,6.48,,126.6,67.0,291301,1755723,0.033026959747076035,0.2058582454919815
173,CHE,10.0,3.7,4.3,83.6,28.3,703082435360.0,4.58,,105.2,59.6,608692,2343601,0.07653287798166275,0.3190896213054657
174,SYR,23.69,14.0,1.22,71.8,53.7,40405006007.0,8.37,1.02,81.7,40.1,7028617,708353,0.367154061794281,0.058469612151384354
175,TJK,30.76,30.4,1.7,70.9,63.1,8116626794.0,11.02,0.23,100.9,31.3,560829,222938,0.08570409566164017,0.037262193858623505
176,TZA,36.7,37.6,0.01,65.0,26.1,63177068175.0,1.98,0.09,94.2,4.0,251879,353225,0.0074149239808321,0.010476071387529373
177,THA,10.34,7.8,0.81,76.9,11.8,543649976166.0,0.75,1.06,99.8,49.3,971312,3087501,0.016402406617999077,0.053007639944553375
178,TGO,33.11,47.4,0.08,60.8,51.0,5459979417.0,2.04,0.34,123.8,14.5,490592,253135,0.09076368808746338,0.05150710046291351
179,TON,24.3,13.4,0.52,70.8,10.2,450353314.0,1.12,,116.3,6.4,60816,3629,0.46864092350006104,0.0526285246014595
180,TTO,12.94,16.4,4.17,73.4,37.3,24100202834.0,2.69,2.25,106.2,12.0,344481,75609,0.23542971909046173,0.06758527457714081
181,TUN,17.56,14.6,1.3,76.5,39.8,38797709924.0,16.02,0.47,115.4,31.7,676809,50882,0.070320725440979,0.005686542019248009
182,TUR,16.03,9.1,1.85,77.4,16.9,754411708203.0,13.49,3.45,93.2,23.9,2801951,4855666,0.041852325201034546,0.0756964385509491
183,TKM,23.83,39.3,2.22,68.1,71.1,40761142857.0,3.91,0.88,88.4,8.0,236287,184210,0.053575433790683746,0.04413194581866264
184,TUV,,20.6,0.92,,0.7,47271463.0,,,86.0,,3653,228,,
185,UGA,38.14,33.8,0.17,63.0,40.5,34387229486.0,1.84,0.01,102.7,4.8,633248,1475388,0.02500375173985958,0.0597495511174202
186,UKR,8.7,7.5,2.99,71.6,47.8,153781069118.0,8.88,0.84,99.0,82.7,5657042,4227768,0.13238376379013062,0.11403252929449081
187,ARE,10.33,6.5,2.53,77.8,17.8,421142267938.0,2.35,,108.4,36.8,169785,7448633,0.019753897562623024,0.8840867877006531
188,GBR,11.0,3.6,2.81,81.3,14.8,2827113184696.0,3.85,10.13,101.2,60.0,4437084,8722563,0.07437285780906677,0.15795190632343292
189,USA,11.6,5.6,2.61,78.5,11.1,21427700000000.0,14.7,7.25,101.8,88.2,2299444,44855744,0.008426020853221416,0.1657649278640747
190,URY,13.86,6.4,5.05,77.8,16.2,56045912952.0,8.73,1.66,108.5,63.1,355939,107639,0.11396313458681107,0.03889615461230278
191,UZB,23.3,19.1,2.37,71.6,42.7,57921286440.0,5.92,0.24,104.2,10.1,1996243,1066544,0.07570288330316544,0.043758880347013474
192,VUT,29.6,22.3,0.17,70.3,8.9,917058851.0,4.39,1.56,109.3,4.7,2026,2988,0.010596289299428463,0.015795065090060234
193,VEN,17.88,21.4,1.92,72.1,45.8,482359318768.0,8.8,0.01,97.2,79.3,4514649,1095761,0.1791655570268631,0.05297742038965225
194,VNM,16.75,16.5,0.82,75.3,43.5,261921244843.0,2.01,0.73,110.6,28.5,3034054,63061,0.03900017961859703,0.0008434918127022684
195,YEM,30.45,42.9,0.31,66.1,81.0,26914402224.0,12.91,,93.6,10.2,1237110,317028,0.0635034441947937,0.017377223819494247
196,ZMB,36.19,40.4,1.19,63.5,27.5,23064722446.0,11.43,0.24,98.7,4.1,167069,167542,0.015973882749676704,0.016279147937893867
197,ZWE,30.68,33.9,0.21,61.2,25.8,21440758800.0,4.95,,109.9,10.0,1089692,394688,0.1120690405368805,0.04571477696299553
